ID;FuelAmount;Distance;DateAdded;CarFK
1;3;23;2024-10-14T21:34:10.748626;1
2;8;43;2024-10-14T21:47:54.882370;1
3;34;123;2024-10-14T21:47:54.882370;1
4;45;234;2024-09-22T21:47:54.882370;1
5;43;123;2024-08-21T21:47:54.882370;1
6;32;345;2024-08-01T21:47:54.882370;1
7;23;323;2024-07-25T21:47:54.882370;1
8;12;534;2024-07-01T21:47:54.882370;1
9;34;342;2024-06-30T21:47:54.882370;1
10;34;234;2024-06-05T21:47:54.882370;1
11;45;523;2024-05-26T21:47:54.882370;1
12;56;321;2024-04-30T21:47:54.882370;1
13;67;532;2024-04-10T21:47:54.882370;1
14;56;523;2024-04-01T21:47:54.882370;1
15;34;1234;2024-03-22T21:47:54.882370;1
16;23;123;2024-03-09T21:47:54.882370;1
17;35;123;2024-02-12T21:47:54.882370;1
18;23;423;2024-02-02T21:47:54.882370;1
19;46;534;2024-01-31T21:47:54.882370;1
20;34;531;2024-01-20T21:47:54.882370;1
21;45;42;2024-01-03T21:47:54.882370;1
22;56;645;2023-12-14T21:47:54.882370;1
23;45;345;2023-12-08T21:47:54.882370;1
24;34;34;2023-11-25T21:47:54.882370;1
25;23;124;2023-11-15T21:47:54.882370;1
26;12;234;2023-11-07T21:47:54.882370;1
27;45;123;2023-10-27T21:47:54.882370;1
28;43;345;2023-10-15T21:47:54.882370;1
29;45;235;2023-10-03T21:47:54.882370;1
30;64;54;2023-09-28T21:47:54.882370;1
31;23;34;2023-09-23T21:47:54.882370;1
32;12;234;2023-09-12T21:47:54.882370;1
33;34;534;2023-09-05T21:47:54.882370;1
34;65;123;2023-08-24T21:47:54.882370;1
35;34;534;2023-08-14T21:47:54.882370;1
36;54;44;2023-07-22T21:47:54.882370;1
37;23;324;2023-07-05T21:47:54.882370;1
38;45;23;2023-06-28T21:47:54.882370;1
39;32;123;2023-06-15T21:47:54.882370;1
40;65;523;2023-06-02T21:47:54.882370;1
41;43;234;2023-05-23T21:47:54.882370;1
42;32;234;2023-05-12T21:47:54.882370;1
43;43;234;2023-05-01T21:47:54.882370;1
44;54;123;2023-04-27T21:47:54.882370;1
45;34;345;2023-04-21T21:47:54.882370;1
46;23;344;2023-04-03T21:47:54.882370;1
47;34;534;2023-03-29T21:47:54.882370;1
48;54;342;2023-03-14T21:47:54.882370;1
49;42;244;2023-03-03T21:47:54.882370;1
50;53;234;2023-02-22T21:47:54.882370;1
51;23;532;2023-02-12T21:47:54.882370;1
52;23;234;2023-02-02T21:47:54.882370;1
53;34;123;2023-01-28T21:47:54.882370;1
54;54;214;2023-01-14T21:47:54.882370;1
55;23;124;2022-12-18T21:47:54.882370;1
56;43;234;2022-11-26T21:47:54.882370;1
57;43;234;2022-11-15T21:47:54.882370;1
